Foundation URI,Linearization (release) URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Version:2025 Oct 06 - 22:30 UTC
http://id.who.int/icd/entity/1435254666,http://id.who.int/icd/release/11/beta/pcl/1435254666,,,Certain infectious or parasitic diseases,chapter,1,False,True,01,browser,iCat,False,25,
http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/beta/pcl/588616678,,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,block,1,False,True,01,browser,iCat,False,5,
http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/beta/pcl/135352227,,BlockL2-1A0,- - Bacterial intestinal infections,block,2,False,True,01,browser,iCat,False,10,
http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/beta/pcl/257068234,1A00,,- - - Cholera,category,1,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/416025325,http://id.who.int/icd/release/11/beta/pcl/416025325,1A01,,- - - Intestinal infection due to other Vibrio,category,1,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/1528414070,http://id.who.int/icd/release/11/beta/pcl/1528414070,1A07,,- - - Typhoid fever,category,1,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/1780040028,http://id.who.int/icd/release/11/beta/pcl/1780040028,1A08,,- - - Paratyphoid fever,category,1,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/beta/pcl/515117475,1A09,,- - - Infections due to other Salmonella,category,1,False,True,01,browser,iCat,False,1,
http://id.who.int/icd/entity/1520312138,http://id.who.int/icd/release/11/beta/pcl/1520312138,1A09.0,,- - - - Salmonella enteritis,category,2,False,True,01,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/pcl/515117475/other,1A09.Y,,- - - - Infections due to other Salmonella in other organs,category,2,True,True,01,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/pcl/515117475/unspecified,1A09.Z,,"- - - - Salmonella infection, unspecified",category,2,True,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/beta/pcl/2080365623,1A02,,- - - Intestinal infections due to Shigella,category,1,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/344162786,http://id.who.int/icd/release/11/beta/pcl/344162786,1A03,,- - - Intestinal infections due to Escherichia coli,category,1,False,True,01,browser,iCat,False,4,
http://id.who.int/icd/entity/2099226249,http://id.who.int/icd/release/11/beta/pcl/2099226249,1A03.0,,- - - - Enteropathogenic Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/408185629,http://id.who.int/icd/release/11/beta/pcl/408185629,1A03.1,,- - - - Enterotoxigenic Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/1828273122,http://id.who.int/icd/release/11/beta/pcl/1828273122,1A03.2,,- - - - Enteroinvasive Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/162723448,http://id.who.int/icd/release/11/beta/pcl/162723448,1A03.3,,- - - - Enterohaemorrhagic Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/pcl/344162786/other,1A03.Y,,- - - - Intestinal infections due to other specified Escherichia coli,category,2,True,True,01,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/pcl/344162786/unspecified,1A03.Z,,"- - - - Intestinal infections due to Escherichia coli, unspecified",category,2,True,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/250688797,http://id.who.int/icd/release/11/beta/pcl/250688797,1A04,,- - - Intestinal infections due to Clostridioides difficile,category,1,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/1000894786,http://id.who.int/icd/release/11/beta/pcl/1000894786,1A05,,- - - Intestinal infections due to Yersinia enterocolitica,category,1,False,True,01,browser,iCat,True,0,
http://id.who.int/icd/entity/794462570,http://id.who.int/icd/release/11/beta/pcl/794462570,1A06,,- - - Gastroenteritis due to Campylobacter,category,1,False,True,01,browser,iCat,True,0,
