EMDN V2					
CATEGORY 	CATEGORY DESCRIPTION	CODE	TERM	LEVEL 	TERMINAL LEVEL YES/NO 
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	1	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01	NEEDLES	2	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0101	NEEDLES FOR INFUSION AND SAMPLING	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010101	HYPODERMIC NEEDLES	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01010101	HYPODERMIC SYRINGE NEEDLES	5	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0101010101	HYPODERMIC SYRINGE NEEDLES, WITH SAFETY SYSTEMS 	6	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0101010102	HYPODERMIC SYRINGE NEEDLES, W/O SAFETY SYSTEMS	6	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01010102	HYPODERMIC PEN NEEDLES	5	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0101010201	HYPODERMIC PEN NEEDLES, WITH SAFETY SYSTEMS	6	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0101010202	HYPODERMIC PEN NEEDLES, W/O SAFETY SYSTEMS	6	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01010199	HYPODERMIC NEEDLES - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010102	BUTTERFLY NEEDLES	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01010201	BUTTERFLY NEEDLES, WITH SAFETY SYSTEMS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01010202	BUTTERFLY NEEDLES, W/O SAFETY SYSTEMS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010103	NEEDLES AND KITS FOR IMPLANTABLE SYSTEMS (PORT)	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01010301	NEEDLES AND KITS FOR IMPLANTABLE SYSTEMS (PORT), WITH SAFETY SYSTEMS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01010302	NEEDLES AND KITS FOR IMPLANTABLE SYSTEMS (PORT), W/O SAFETY SYSTEMS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010104	NEEDLES FOR VIAL COLLECTION  	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010105	NEEDLES FOR COLLECTION UNDER VACUUM	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01010501	NEEDLES FOR COLLECTION UNDER VACUUM, WITH SAFETY SYSTEMS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01010502	NEEDLES FOR COLLECTION UNDER VACCUM, W/O SAFETY SYSTEMS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010106	NEEDLES AND KITS FOR RECONSTRUCTIVE FILLING	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010180	NEEDLES FOR INFUSION AND COLLECTION - ACCESSORIES	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01018001	HOLDERS FOR COLLECTION NEEDLES	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01018099	NEEDLES FOR INFUSION AND COLLECTION - OTHER ACCESSORIES	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010199	NEEDLES FOR INFUSION AND COLLECTION - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0102	BIOPSY NEEDLES AND KITS	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010201	NEEDLES AND KITS - HISTOLOGICAL AND CYTOLOGICAL BIOPSY OF SOFT TISSUES	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020101	SHEARING BIOPSY NEEDLES AND KITS 	5	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0102010101	SHEARING BIOPSY NEEDLES	6	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0102010102	SHEARING BIOPSY GUNS	6	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020102	ASPIRATION FINE NEEDLES AND KITS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020199	NEEDLES AND KITS FOR HISTOLOGICAL AND CYTOLOGICAL BIOPSY OF SOFT TISSUES - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010202	BONE MARROW BIOPSY NEEDLES AND KITS	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020201	ILIAC-STERNAL BIOPSY NEEDLES AND KITS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020202	BONE MARROW EXPLANT NEEDLES AND KITS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020203	VERTEBRAL AND PARAVERTEBRAL BIOPSY NEEDLES AND KITS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020204	MOTORISED BONE BIOPSY KITS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020299	NEEDLES AND KITS - BONE MARROW BIOPSY - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010203	CUTANEOUS BIOPSY NEEDLES AND KITS	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020301	CUTANEOUS BIOPSY NEEDLES	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020302	CUTANEOUS BIOPSY PUNCHES, SINGLE-USE	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020303	CUTANEOUS BIOPSY CURETTES, SINGLE-USE	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020399	CUTANEOUS BIOPSY NEEDLES AND KITS - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010204	AMNIOCENTESIS AND VILLOCENTESIS NEEDLES AND KITS	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020401	AMNIOCENTESIS NEEDLES AND KITS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020402	VILLOCENTESIS NEEDLES AND KITS 	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010205	PERENDOSCOPIC BIOPSY NEEDLES AND KITS (NON-GASTROINTESTINAL APPARATUS)	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020501	PERENDOSCOPIC BRONCHIAL BIOPSY NEEDLES AND KITS	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020502	LAPAROSCOPIC AND THORACOSCOPIC BIOPSY NEEDLES AND KITS 	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01020599	PERENDOSCOPIC BIOPSY NEEDLES AND KITS (NON-GASTROINTESTINAL APPARATUS) - OTHER	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010206	CEREBRAL BIOPSY NEEDLES AND KITS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010207	PULMONARY BIOPSY NEEDLES AND KITS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010299	BIOPSY NEEDLES AND KITS - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0103	ANAESTHESIA NEEDLES AND KITS	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010301	SPINAL AND EPIDURAL ANAESTHESIA NEEDLES AND KITS	4	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01030101	SPINAL ANAESTHESIA NEEDLES AND KITS 	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01030102	EPIDURAL ANAESTHESIA NEEDLES AND KITS 	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A01030103	COMBINED EPIDURAL AND SPINAL ANAESTHESIA NEEDLES AND KITS 	5	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010302	PLEXUS BLOCK NEEDLES AND KITS 	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010399	ANAESTHESIA NEEDLES AND KIT - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0104	DIALYSIS NEEDLES	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010401	ARTERIOVENOUS FISTULA NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010480	DIALYSIS NEEDLES - ACCESSORIES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010499	DIALYSIS NEEDLES - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0105	OPHTHALMOLOGY INJECTION NEEDLES AND KITS	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010501	ANTERIOR EYE CHAMBER NEEDLES 	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010502	EYE IRRIGATION NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010503	PERIBULBAR NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010504	RETROBULBAR NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010505	ENDOCULAR INJECTION NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010506	ENDOCULAR ASPIRATION CANNULA NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010599	OPHTHALMOLOGY INJECTION NEEDLES AND KITS - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0106	DENTISTRY NEEDLES AND KITS	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010601	CARPULE NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010602	DENTAL IRRIGATION NEEDLES	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A010699	DENTISTRY NEEDLES AND KITS - OTHER	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A0180	NEEDLES - ACCESSORIES NOT INCLUDED IN OTHER CLASSES	3	NO
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A018001	NEEDLE CAPS	4	YES
A	DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION	A018002	NEEDLE GUIDES	4	YES
