Foundation URI,Linearization (release) URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Version:2025 Oct 06 - 22:30 UTC
http://id.who.int/icd/entity/619527855,http://id.who.int/icd/release/11/beta/icf/619527855,,,ICF Category,chapter,1,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/567313968,http://id.who.int/icd/release/11/beta/icf/567313968,,BlockL1-b11,- Body functions,block,1,False,True,,browser,iCat,False,8,
http://id.who.int/icd/entity/1363559646,http://id.who.int/icd/release/11/beta/icf/1363559646,,BlockL2-b11,- - Mental functions,block,2,False,True,,browser,iCat,False,2,
http://id.who.int/icd/entity/882590883,http://id.who.int/icd/release/11/beta/icf/882590883,,BlockL3-b11,- - - Global mental functions,block,3,False,True,,browser,iCat,False,7,
http://id.who.int/icd/entity/1060289548,http://id.who.int/icd/release/11/beta/icf/1060289548,b110,,- - - - Consciousness functions,category,1,False,True,,browser,iCat,False,3,
http://id.who.int/icd/entity/2052181562,http://id.who.int/icd/release/11/beta/icf/2052181562,b1100,,- - - - - State of consciousness,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1836690170,http://id.who.int/icd/release/11/beta/icf/1836690170,b1101,,- - - - - Continuity of consciousness,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1409353658,http://id.who.int/icd/release/11/beta/icf/1409353658,b1102,,- - - - - Quality of consciousness,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1060289548/other,b1108,,- - - - - Other specified consciousness functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1060289548/unspecified,b1109,,"- - - - - Consciousness functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1670590220,http://id.who.int/icd/release/11/beta/icf/1670590220,b114,,- - - - Orientation functions,category,1,False,True,,browser,iCat,False,5,
http://id.who.int/icd/entity/324489319,http://id.who.int/icd/release/11/beta/icf/324489319,b1140,,- - - - - Orientation to time,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/75445415,http://id.who.int/icd/release/11/beta/icf/75445415,b1141,,- - - - - Orientation to place,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1023908327,http://id.who.int/icd/release/11/beta/icf/1023908327,b1142,,- - - - - Orientation to person,category,2,False,True,,browser,iCat,False,2,
http://id.who.int/icd/entity/736292398,http://id.who.int/icd/release/11/beta/icf/736292398,b11420,,- - - - - - Orientation to self,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1019906798,http://id.who.int/icd/release/11/beta/icf/1019906798,b11421,,- - - - - - Orientation to others,category,3,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1023908327/other,b11428,,- - - - - - Other specified orientation to person,category,3,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1023908327/unspecified,b11429,,"- - - - - - Orientation to person, unspecified",category,3,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/707788071,http://id.who.int/icd/release/11/beta/icf/707788071,b1143,,- - - - - Orientation to objects,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1341571943,http://id.who.int/icd/release/11/beta/icf/1341571943,b1144,,- - - - - Orientation to space,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1670590220/other,b1148,,- - - - - Other specified orientation functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1670590220/unspecified,b1149,,"- - - - - Orientation functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1525383756,http://id.who.int/icd/release/11/beta/icf/1525383756,b117,,- - - - Intellectual functions,category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1232919716,http://id.who.int/icd/release/11/beta/icf/1232919716,b122,,- - - - Global psychosocial functions,category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/366825380,http://id.who.int/icd/release/11/beta/icf/366825380,b126,,- - - - Temperament and personality functions,category,1,False,True,,browser,iCat,False,8,
http://id.who.int/icd/entity/943419794,http://id.who.int/icd/release/11/beta/icf/943419794,b1260,,- - - - - Extraversion,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/789779794,http://id.who.int/icd/release/11/beta/icf/789779794,b1261,,- - - - - Agreeableness,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/376158226,http://id.who.int/icd/release/11/beta/icf/376158226,b1262,,- - - - - Conscientiousness,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/21224658,http://id.who.int/icd/release/11/beta/icf/21224658,b1263,,- - - - - Psychic stability,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1687872146,http://id.who.int/icd/release/11/beta/icf/1687872146,b1264,,- - - - - Openness to experience,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1941079634,http://id.who.int/icd/release/11/beta/icf/1941079634,b1265,,- - - - - Optimism,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1254763282,http://id.who.int/icd/release/11/beta/icf/1254763282,b1266,,- - - - - Confidence,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1575112658,http://id.who.int/icd/release/11/beta/icf/1575112658,b1267,,- - - - - Trustworthiness,category,2,False,True,,browser,iCat,True,0,
