Foundation URI,Linearization (release) URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Version:2025 Oct 06 - 22:30 UTC
http://id.who.int/icd/entity/1190112446,http://id.who.int/icd/release/11/beta/ichi/1190112446,,,ICHI Category,chapter,1,False,True,,browser,iCat,False,2,
http://id.who.int/icd/entity/289140506,http://id.who.int/icd/release/11/beta/ichi/289140506,,,- Health interventions,block,1,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/2026946783,http://id.who.int/icd/release/11/beta/ichi/2026946783,,,- - Interventions on body systems or functions,block,2,False,True,,browser,iCat,False,12,
http://id.who.int/icd/entity/1395502159,http://id.who.int/icd/release/11/beta/ichi/1395502159,,,- - - Interventions on the nervous system or mental functions,block,3,False,True,,browser,iCat,False,11,
http://id.who.int/icd/entity/434022700,http://id.who.int/icd/release/11/beta/ichi/434022700,,,- - - - Interventions on parasympathetic nervous system,block,4,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1126750199,http://id.who.int/icd/release/11/beta/ichi/1126750199,,BlockL4-_LD,- - - - Interventions on mental functions,block,4,False,True,,browser,iCat,False,14,
http://id.who.int/icd/entity/1674683851,http://id.who.int/icd/release/11/beta/ichi/1674683851,_LDINCOMPLETE,,"- - - - - Assessment of mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1916089805,http://id.who.int/icd/release/11/beta/ichi/1916089805,_LDINCOMPLETE,,"- - - - - Test of mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/101320830,http://id.who.int/icd/release/11/beta/ichi/101320830,_LDINCOMPLETE,,"- - - - - Monitoring of mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1461985101,http://id.who.int/icd/release/11/beta/ichi/1461985101,_LDINCOMPLETE,,"- - - - - Observation of mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/956331964,http://id.who.int/icd/release/11/beta/ichi/956331964,_LDINCOMPLETE,,"- - - - - Interview in relation to mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/673135700,http://id.who.int/icd/release/11/beta/ichi/673135700,_LDINCOMPLETE,,- - - - - Functional magnetic resonance imaging,category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1181171515,http://id.who.int/icd/release/11/beta/ichi/1181171515,_LDINCOMPLETE,,"- - - - - Assisting and leading exercise for mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1571403809,http://id.who.int/icd/release/11/beta/ichi/1571403809,_LDINCOMPLETE,,"- - - - - Training of mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1206814459,http://id.who.int/icd/release/11/beta/ichi/1206814459,_LDINCOMPLETE,,"- - - - - Education about mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1290442839,http://id.who.int/icd/release/11/beta/ichi/1290442839,_LDINCOMPLETE,,"- - - - - Advising about mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1111445909,http://id.who.int/icd/release/11/beta/ichi/1111445909,_LDINCOMPLETE,,"- - - - - Counselling for mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1023701644,http://id.who.int/icd/release/11/beta/ichi/1023701644,_LDINCOMPLETE,,"- - - - - Psychotherapy for mental functions, unspecified",category,1,False,True,,browser,iCat,True,0,
