Correct GMDN Code|GMDN Description|EMDN Code|EMDN Term
32721|Ophthalmic tonometer|Z110601|OPHTHALMIC TONOMETERS
47842|Contact lens|Z110602|CONTACT LENSES
16918|Ophthalmic perimeter|Z110605|OPHTHALMIC PERIMETERS
46786|Ophthalmoscope|Z110606|OPHTHALMOSCOPES
32712|Retinoscope|Z110607|RETINOSCOPES
66910|Phoropter|Z110608|PHOROPTERS
62161|Ophthalmic surgical laser|L010302|OPHTHALMIC LASERS
35148|Slit lamp|Z110609|SLIT LAMPS
10551|Fundus camera|Z110610|FUNDUS CAMERAS
45071|Phacoemulsification system|L050101|PHACOEMULSIFICATION SYSTEMS
45074|Vitrectomy system|L050102|VITRECTOMY SYSTEMS
64676|Ophthalmic surgical microscope|L050103|OPHTHALMIC SURGICAL MICROSCOPES
46052|Ophthalmic cryosurgical unit|L050104|OPHTHALMIC CRYOSURGICAL UNITS
35658|Intraocular lens (IOL)|P040101|INTRAOCULAR LENSES (IOLS)
46290|Spectacle lens|P040102|SPECTACLE LENSES
62537|Blood glucose meter|W010501|BLOOD GLUCOSE MONITORING SYSTEMS
56676|Clinical chemistry analyser|W011001|CLINICAL CHEMISTRY ANALYSERS
35476|Haematology analyser|W011002|HAEMATOLOGY ANALYSERS
56689|Coagulation analyser|W011003|COAGULATION ANALYSERS
56701|Immunoassay analyser|W011004|IMMUNOASSAY ANALYSERS
57849|Mass spectrometer|W011005|MASS SPECTROMETERS
57839|Flow cytometer|W011006|FLOW CYTOMETERS
35484|Laboratory microscope|Z130101|LABORATORY MICROSCOPES
36465|Centrifuge|Z130102|CENTRIFUGES
62304|Laboratory incubator|Z130103|LABORATORY INCUBATORS
38671|Autoclave|Z120302|AUTOCLAVES
16822|Pipette|W011101|PIPETTES
62542|Point-of-care coagulation analyser|W010502|POINT-OF-CARE COAGULATION ANALYSERS
35918|Point-of-care urinalysis system|W010503|POINT-OF-CARE URINALYSIS SYSTEMS
41497|Prosthetic limb, upper|P050101|UPPER LIMB PROSTHESES
64721|Prosthetic limb, lower|P050102|LOWER LIMB PROSTHESES
33031|Orthotic, spinal|P060101|SPINAL ORTHOSES
41065|Orthotic, knee|P060102|KNEE ORTHOSES
36206|Orthotic, ankle-foot|P060103|ANKLE-FOOT ORTHOSES
35372|Transcutaneous electrical nerve stimulator (TENS)|G030101|TRANSCUTANEOUS ELECTRICAL NERVE STIMULATORS (TENS)
46573|Powered muscle stimulator|G030102|POWERED MUSCLE STIMULATORS
36313|Continuous passive motion (CPM) device|G030103|CONTINUOUS PASSIVE MOTION (CPM) DEVICES
14106|Traction unit|G030104|TRACTION UNITS
11248|Therapeutic ultrasound system|G030105|THERAPEUTIC ULTRASOUND SYSTEMS
60723|Medical image management system software|Y030103|PICTURE ARCHIVING AND COMMUNICATION SYSTEMS
47502|Medical image analysis software|Y030201|MEDICAL IMAGE ANALYSIS SOFTWARE
67566|Digital pathology software|Y030202|DIGITAL PATHOLOGY SOFTWARE
43081|Medical mobile application, diagnostic|Y030203|DIAGNOSTIC MOBILE MEDICAL APPLICATIONS
35477|Medical device data system software|Y030204|MEDICAL DEVICE DATA SYSTEMS (MDDS)
47699|Medical algorithm software, therapeutic|Y030205|THERAPEUTIC ALGORITHM SOFTWARE
13217|Syringe pump|A010302|SYRINGE PUMPS
66485|Ambulatory infusion pump|A010303|AMBULATORY INFUSION PUMPS
13209|Enteral feeding pump|J020101|ENTERAL FEEDING PUMPS
11675|Enteral administration set|J020102|ENTERAL ADMINISTRATION SETS
44970|Absorbent wound dressing|M010201|ABSORBENT WOUND DRESSINGS
47764|Hydrocolloid wound dressing|M010202|HYDROCOLLOID WOUND DRESSINGS
43186|Foam wound dressing|M010203|FOAM WOUND DRESSINGS
58059|Alginate wound dressing|M010204|ALGINATE WOUND DRESSINGS
47764|Hydrogel wound dressing|M010205|HYDROGEL WOUND DRESSINGS
47474|Antimicrobial wound dressing|M010206|ANTIMICROBIAL WOUND DRESSINGS
58301|Wound dressing with adhesive border|M010207|WOUND DRESSINGS WITH ADHESIVE BORDER
58301|Transparent film dressing|M010208|TRANSPARENT FILM DRESSINGS
37592|Ostomy pouch deodorant|U020102|OSTOMY POUCH DEODORANTS
48159|Ostomy skin barrier|U020103|OSTOMY SKIN BARRIERS
37502|Ostomy pouch clamp|U020104|OSTOMY POUCH CLAMPS
31075|Ileostomy pouch|U020105|ILEOSTOMY BAGS/POUCHES
64583|Urostomy pouch|U020106|UROSTOMY BAGS/POUCHES
58888|Ostomy irrigation set|U020107|OSTOMY IRRIGATION SETS
46207|Stoma paste|U020108|STOMA PASTES
12741|Haemodialysis fistula needle|D010302|HAEMODIALYSIS FISTULA NEEDLES
14437|Haemodialysis water purification system|D010303|HAEMODIALYSIS WATER PURIFICATION SYSTEMS
64786|Saline prefilled flush syringe|A020201|PREFILLED SALINE FLUSH SYRINGES
47132|Heparin prefilled flush syringe|A020202|PREFILLED HEPARIN FLUSH SYRINGES
35390|Catheter flush syringe, empty|A020203|EMPTY CATHETER FLUSH SYRINGES
35441|Heparin-coated cardiopulmonary bypass tubing|C010603|HEPARIN-COATED CARDIOPULMONARY BYPASS TUBING
56284|Heparin-coated stent|C030103|HEPARIN-COATED STENTS
35281|Heparin-coated vascular graft|C040102|HEPARIN-COATED VASCULAR GRAFTS
37278|Heparin-bonded dialysis catheter|D010103|HEPARIN-BONDED DIALYSIS CATHETERS
34919|Heparin-coated intra-aortic balloon catheter|C010502|HEPARIN-COATED INTRA-AORTIC BALLOON CATHETERS
54615|Carcinoembryonic antigen (CEA) IVD kit|W011201|CARCINOEMBRYONIC ANTIGEN (CEA) IVD
54665|Prostate-specific antigen (PSA) IVD kit|W011202|PROSTATE-SPECIFIC ANTIGEN (PSA) IVD
54588|Cancer antigen 125 (CA-125) IVD kit|W011203|CANCER ANTIGEN 125 (CA-125) IVD
60976|Cancer antigen 19-9 (CA 19-9) IVD kit|W011204|CANCER ANTIGEN 19-9 (CA 19-9) IVD
58348|Alpha-fetoprotein (AFP) oncology IVD kit|W011205|ALPHA-FETOPROTEIN (AFP) IVD
60980|Human epidermal growth factor receptor 2 (HER2) IVD kit|W011206|HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2) IVD
54532|Faecal occult blood test kit|W011207|FAECAL OCCULT BLOOD TESTS
61930|Continuous glucose monitoring sensor|W010504|CONTINUOUS GLUCOSE MONITORING SENSORS
61912|Continuous glucose monitoring transmitter|W010505|CONTINUOUS GLUCOSE MONITORING TRANSMITTERS
62113|Continuous glucose monitoring receiver|W010506|CONTINUOUS GLUCOSE MONITORING RECEIVERS
64648|Insulin pump integration software for CGM|A030101|INSULIN PUMP SOFTWARES
62468|Surgical forceps, reusable|L021101|SURGICAL FORCEPS
38727|Surgical scissors, reusable|L021102|SURGICAL SCISSORS
45918|Surgical retractor, reusable|L021103|SURGICAL RETRACTORS
42412|Surgical trocar|L021104|SURGICAL TROCARS
12726|Surgical needle holder|L021105|SURGICAL NEEDLE HOLDERS
10825|Bone chisel|P010301|BONE CHISELS
15713|Bone rongeur|P010302|BONE RONGEURS
11179|Dermatome|M020101|DERMATOMES
56296|Bipolar electrosurgical forceps|L010103|BIPOLAR ELECTROSURGICAL FORCEPS
61874|Monopolar electrosurgical electrode|L010104|MONOPOLAR ELECTROSURGICAL ELECTRODES
58494|Electrosurgical unit patient return electrode|L010105|ELECTROSURGICAL UNIT PATIENT RETURN ELECTRODES
33541|Powered surgical drill system|L020803|POWERED SURGICAL DRILL SYSTEMS
46476|Powered surgical saw system|L020804|POWERED SURGICAL SAW SYSTEMS
47010|Ultrasonic surgical system|L010401|ULTRASONIC SURGICAL SYSTEMS
