Correct GMDN Code|GMDN Description|EMDN Code|EMDN Term
57827|Tourniquet, non-pneumatic|R010101|NON-PNEUMATIC TOURNIQUETS
45036|Laryngeal mask airway, single-use|R020202|LARYNGEAL MASKS, SINGLE-USE
13755|Stethoscope|Z110301|STETHOSCOPES
61143|Suture needle|L040101|SUTURE NEEDLES
16197|Dental mouth prop|L030302|DENTAL MOUTH PROPS
35183|Hospital-bed mattress, static|Z010205|MATTRESSES FOR HOSPITAL BEDS
62525|Ostomy pouch|U020101|COLOSTOMY BAGS/POUCHES
35404|Tracheostomy tube|R020301|TRACHEOSTOMY TUBES
42424|Oropharyngeal airway|R020203|OROPHARYNGEAL AIRWAYS
42422|Nasopharyngeal airway|R020204|NASOPHARYNGEAL AIRWAYS
66649|Endoscope washer/disinfector|Z120101|ENDOSCOPE WASHER-DISINFECTORS
10749|Suction catheter kit|A080103|SUCTION CATHETERS
65012|Sterile-fluid-pathway closing cap|A010104|LUER CAPS
13730|Surgical instrument decontamination container|Z120201|SURGICAL INSTRUMENT DECONTAMINATION CONTAINERS
34878|Manual surgical instrument cleaning brush|Z120202|MANUAL SURGICAL INSTRUMENT CLEANING BRUSHES
12282|Surgical light|Z010101|SURGICAL LIGHTS
37006|Endoscope leak tester|Z120102|ENDOSCOPE LEAK TESTERS
36271|Medical gas pipeline system|Z010301|MEDICAL GAS PIPELINE SYSTEMS
31113|Walking stick|G020201|WALKING STICKS
31115|Crutch|G020202|CRUTCHES
37961|Walking frame|G020203|WALKING FRAMES
31253|Medical air compressor|Z010302|MEDICAL AIR COMPRESSORS
42424|Guedel-type oropharyngeal airway, single-use|R020203|OROPHARYNGEAL AIRWAYS
36086|Manual resuscitation bag|R020401|MANUAL RESUSCITATION BAGS
35171|Rebreathing bag|R020403|BREATHING BAGS
38671|Steam sterilizer|Z120301|STEAM STERILIZERS
34873|Patient bed|Z010201|PATIENT BEDS
35379|Operating table|Z010202|OPERATING TABLES
34917|Urethral catheter|U010101|URETHRAL CATHETERS
47085|Peritoneal dialysis catheter|D010101|PERITONEAL DIALYSIS CATHETERS
18004|Peritoneal dialysis solution|D010102|PERITONEAL DIALYSIS SOLUTIONS
35173|Oxygen mask|R020101|OXYGEN MASKS
35201|Oxygen cannula|R020102|OXYGEN CANNULAS
65416|Intravenous administration set|A010101|INTRAVENOUS ADMINISTRATION SETS
64574|Intravenous catheter|A010102|INTRAVENOUS CATHETERS
35035|Electrocardiograph electrode|Z110302|ELECTROCARDIOGRAPH ELECTRODES
58039|Electrosurgical electrode|L010101|ELECTROSURGICAL ELECTRODES
34999|Haemodialysis blood tubing set|D010201|HAEMODIALYSIS BLOOD LINES
47072|Dialyzer|D010202|DIALYZERS
58131|Haemodialysis machine|D010203|HAEMODIALYSIS MACHINES
12050|Humidifier|R020501|HUMIDIFIERS
35457|Nebulizer|R020502|NEBULIZERS
42411|Lung ventilator|R020601|LUNG VENTILATORS
37705|Ventilator breathing circuit|R020602|VENTILATOR BREATHING CIRCUITS
35217|Bone cement|P010101|BONE CEMENTS
47569|Scalpel, single-use|L020101|SCALPELS, SINGLE-USE
35141|Scalpel, reusable|L020102|SCALPELS, REUSABLE
47783|Surgical drape|L020201|SURGICAL DRAPES
35091|Surgical gown|L020202|SURGICAL GOWNS
66199|Surgical mask|L020203|SURGICAL MASKS
59230|Hypodermic needle|A020101|HYPODERMIC NEEDLES
47017|Hypodermic syringe|A020102|HYPODERMIC SYRINGES
57907|Blood specimen container|W010103|BLOOD COLLECTION TUBES
61419|Blood collection tube|W010101|BLOOD COLLECTION TUBES
35209|Blood collection needle|W010102|BLOOD COLLECTION NEEDLES
61618|Blood component separation set IVD|W010901|BLOOD COMPONENT SEPARATORS
37468|Vaginal speculum|K010101|VAGINAL SPECULA
63649|Surgical suction apparatus|L020301|SURGICAL SUCTION APPARATUS
16779|Suction tubing|L020302|SUCTION TUBING
35191|Surgical microscope|L020401|SURGICAL MICROSCOPES
35507|Fibreoptic light cable|L020508|ENDOSCOPIC LIGHT SOURCES
35158|Endoscopic light source|L020501|ENDOSCOPIC LIGHT SOURCES
32265|Endoscopic camera system|L020502|ENDOSCOPIC CAMERA SYSTEMS
17882|Defibrillator|C010201|DEFIBRILLATORS
45806|Defibrillator electrode|C010202|DEFIBRILLATOR ELECTRODES
47616|Blood warmer|A010201|BLOOD WARMERS
47616|Intravenous solution warmer|A010202|INTRAVENOUS SOLUTION WARMERS
