"code","description","relatedEmdnCodes"
"50417","Multiple gram negative bacteria species culture isolate identification IVD, kit",""
"51701","Multiple Streptococcus bacterial species culture isolate identification IVD, kit",""
"50419","Multiple aerobic gram positive bacteria species culture isolate identification IVD, kit",""
"50413","Multiple anaerobic bacteria species culture isolate identification IVD, kit",""
"42736","Catalase production microbial reagent IVD",""
"36188","Blood collection tube holder, reusable",""
"50423","Multiple Haemophilus/Neisseria bacteria species culture isolate identification IVD, kit",""
"30666","Multiple Candida/yeast species culture isolate identification IVD, kit",""
"61275","Multiple bacteria carbapenemase production IVD, kit, chromogenic",""
"50824","Clostridium difficile antigen IVD, antibody",""
"60897","Toxoplasma gondii immunoglobulin G (IgG) antibody avidity index IVD, kit, enzyme immunoassay (EIA)",""
"62035","Antimicrobial susceptibility strip dispenser IVD",""
"47350","B-type natriuretic protein/N-terminal pro b-type natriuretic peptide IVD, kit, enzyme immunoassay (EIA)",""
"54614","Carcinoembryonic antigen (CEA) IVD, kit, enzyme immunoassay (EIA)",""
"54009","Troponin I IVD, kit, enzyme immunoassay (EIA)",""
"61534","Procalcitonin (PCT) IVD, kit, enzyme immunoassay (EIA)",""
"47385","Multiple cardiac marker IVD, kit, enzyme immunoassay (EIA)",""
"54664","Total prostate specific antigen (tPSA) IVD, kit, enzyme immunoassay (EIA)",""
"54210","Total human chorionic gonadotropin IVD, kit, enzyme immunoassay (EIA)",""
"58323","Total thyroxine (TT4) IVD, kit, enzyme immunoassay (EIA)",""
"58332","Total triiodothyronine (TT3) IVD, kit, enzyme immunoassay (EIA)",""
"52444","Toxoplasma gondii total antibody IVD, kit, enzyme immunoassay (EIA)",""
"51656","Multiple Staphylococcus bacterial species culture isolate identification IVD, kit",""
"61487","Human infectome analysis interpretive software IVD",""
"62854","McFarland standard IVD",""
"52805","Multiple Neisseria species culture isolate identification IVD, kit",""
"44037","Blood donor set, triple-pack",""
"44033","Blood donor set, single-pack",""
"46347","Blood donor set, quad-pack",""
"57706","Vimentin IVD, calibrator",""
"40955","Hand-held urinal, single-use",""
"64794","Dental coating, tooth-desensitizing, professional",""
"42391","Capillary thermometer cover",""
"63278","Tongue/lip exerciser",""
"41980","Hepatitis C virus nucleic acid IVD, control",""
"50411","Multiple-type sexually transmitted pathogen nucleic acid IVD, control",""
"47920","Multiple-genus respiratory virus nucleic acid IVD, control",""
"61045","Multiple-type meningitis-associated microorganism nucleic acid IVD, control",""
"61060","Multiple-type gastrointestinal pathogen nucleic acid IVD, control",""
"48210","Multiple vaginitis/vaginosis-associated pathogen nucleic acid IVD, control",""
"67209","Mpox virus nucleic acid IVD, control",""
"64748","SARS-CoV-2 nucleic acid IVD, control",""
"47319","Chlamydia trachomatis nucleic acid IVD, control",""
"41951","Neisseria gonorrhoeae nucleic acid IVD, control",""
"65135","MSSA nucleic acid IVD, control",""
"62774","MRSA/MSSA nucleic acid IVD, control",""
"51669","MRSA nucleic acid IVD, control",""
"52477","Trichomonas vaginalis nucleic acid IVD, control",""
"48694","Enterovirus nucleic acid (serotypes 68-71) IVD, control",""
"48110","Norovirus nucleic acid IVD, control",""
"52818","Respiratory syncytial virus (RSV) nucleic acid IVD, control",""
"47279","Influenza A/B virus nucleic acid IVD, control",""
"50838","Clostridium difficile nucleic acid IVD, control",""
"61317","Multiple-type respiratory pathogen nucleic acid IVD, control",""
"47882","Dermatological excimer laser system",""
"47228","Nitrogen refillable cylinder",""
"45249","Endodontic obturation system handpiece, heat conducting",""
"45250","Endodontic obturation system handpiece, material extrusion",""
"61866","Inhaler dose sensor",""
"55459","Multiple drugs of abuse IVD, kit, fluorescent immunoassay",""
"47352","B-type natriuretic protein/N-terminal pro b-type natriuretic peptide IVD, kit, fluorescent immunoassay",""
"42263","Fixed-aperture therapeutic x-ray system collimator",""
"47111","Surgical intravascular shunt",""
"15325","Patient positioning vacuum pad",""
"35651","Cranioplasty sheet",""
"46267","Cranioplasty plate, alterable",""
"64138","Bone cleaning gas-jet nozzle, reusable",""
"64139","Bone cleaning gas-jet Y-piece connector",""
"64140","Bone cleaning gas-jet handpiece",""
"65575","Bone cleaning gas-jet nozzle, single-use",""
"65576","Bone cleaning gas-jet tubing set",""
"40580","Organic peroxy acid device sterilant, single-use",""
"33888","Haemodialysis dialyser reprocessing system",""
"46049","Respiratory oxygen monitor, battery-powered",""
"47171","Dura mater sealant",""
"67346","Washing/toileting non-lifting transfer chair",""
"42065","Urine sediment IVD, control",""
"31523","Total lipoprotein IVD, control",""
"53207","Ammonia IVD, control",""
"56225","White blood cell count IVD, control",""
"52868","Multiple electrolyte IVD, control",""
"58006","Endobronchial airway sizing kit",""
"47614","Endobronchial valve delivery catheter",""
"47613","Endobronchial valve",""
"11675","Enteral feeding bag/bottle",""
"58087","Microbial water purification filter, sterilizable",""
"47334","Haemodialysis system dialysate pyrogen-filtration set",""
"17907","Warming/high-flow infusion pump",""
"40796","Extravascular-circulation hyperthermia system applicator, intracorporeal",""
"41609","Heat-exchanging intravenous administration set",""
"40784","Extravascular-circulation hyperthermia system",""
"47618","Conduction blood/fluid warmer set",""
"62069","Skin semi-occlusive dressing, non-antimicrobial",""
"55501","Methamphetamine-specific IVD, reagent",""
"55738","Oxycodone IVD, reagent",""
"55489","Amphetamine/methamphetamine group IVD, kit, rapid ICT, clinical",""
"30517","Barbiturate IVD, kit, rapid ICT, clinical",""
"65385","Buprenorphine IVD, kit, rapid ICT, clinical",""
"55749","Phencyclidine (PCP) IVD, reagent",""
"55712","Nortriptyline IVD, reagent",""
"62324","Propoxyphene/propoxyphene metabolite IVD, kit, rapid ICT, clinical",""
"49500","Respiratory syncytial virus (RSV) antigen IVD, kit, rapid ICT, clinical",""
"64770","Multiple-genus respiratory virus antigen IVD, kit, rapid ICT, clinical",""
"64831","SARS-CoV-2 immunoglobulin G (IgG) antibody IVD, kit, rapid ICT, clinical",""
"63770","Beta-haemolytic Group A Streptococcus antigen IVD, kit, fluorescent immunoassay",""
"51707","Beta-haemolytic Group A Streptococcus antigen IVD, kit, rapid ICT, clinical",""
"64756","SARS-CoV-2 immunoglobulin G (IgG)/IgM antibody IVD, kit, rapid ICT, clinical",""
"15105","Heating block IVD",""
"54532","Faecal occult blood IVD, kit, rapid ICT, clinical",""
"60955","Multiple form 25-hydroxy vitamin D IVD, kit, rapid ICT, clinical",""
"61389","D-dimer IVD, kit, fluorescent immunoassay",""
"48935","Dengue virus immunoglobulin A (IgA)/IgG/IgM antibody IVD, kit, rapid ICT, clinical",""
"52311","Multiple Plasmodium species antigen IVD, kit, rapid ICT, clinical",""
"47041","B-type natriuretic protein/N-terminal pro b-type natriuretic peptide IVD, kit, rapid ICT, clinical",""
"47399","Multiple cardiac marker IVD, reagent",""
"58305","Procalcitonin (PCT) IVD, kit, rapid ICT, clinical",""
"54010","Troponin I IVD, kit, fluorescent immunoassay",""
"48014","Fluorescent immunoassay analyser IVD, point-of-care",""
"55582","Cotinine (nicotine metabolite) IVD, reagent",""
"47343","D-dimer IVD, kit, rapid ICT, clinical",""
